City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Itacurubi Del Rosario,-24.5,-56.6833,89.42,32,0,9.19,PY,2022-02-06 15:42:25
1,Jamestown,42.097,-79.2353,25.52,49,0,7.0,US,2022-02-06 15:39:23
2,Piacabucu,-10.4056,-36.4344,87.37,58,13,13.82,BR,2022-02-06 15:42:25
3,Vaini,-21.2,-175.2,73.56,100,100,13.8,TO,2022-02-06 15:42:26
4,Kavieng,-2.5744,150.7967,81.55,78,100,3.78,PG,2022-02-06 15:42:26
5,Arraial Do Cabo,-22.9661,-42.0278,91.26,52,0,17.27,BR,2022-02-06 15:42:26
6,Yellowknife,62.456,-114.3525,-12.44,83,75,11.5,CA,2022-02-06 15:41:59
7,Lorengau,-2.0226,147.2712,81.72,78,96,6.31,PG,2022-02-06 15:40:03
8,Ponnani,10.767,75.9252,79.92,77,65,7.43,IN,2022-02-06 15:42:27
9,Barrow,71.2906,-156.7887,-20.18,69,20,5.75,US,2022-02-06 15:38:52
10,Blythe,33.6103,-114.5964,37.85,25,0,3.44,US,2022-02-06 15:42:27
11,Anadyr,64.75,177.4833,-16.1,76,0,8.95,RU,2022-02-06 15:42:27
12,Ribeira Grande,38.5167,-28.7,64.8,77,20,19.57,PT,2022-02-06 15:39:44
13,Rikitea,-23.1203,-134.9692,78.73,72,100,16.42,PF,2022-02-06 15:42:28
14,Drabiv,49.963,32.1529,31.1,90,97,10.0,UA,2022-02-06 15:42:28
15,Hilo,19.7297,-155.09,68.79,92,100,8.05,US,2022-02-06 15:38:41
16,Isiro,2.7739,27.616,79.27,27,91,2.53,CD,2022-02-06 15:42:29
17,Cabo San Lucas,22.8909,-109.9124,66.51,76,40,3.44,MX,2022-02-06 15:42:29
18,East London,-33.0153,27.9116,74.34,88,20,23.02,ZA,2022-02-06 15:42:29
19,Port-Gentil,-0.7193,8.7815,85.96,70,20,11.5,GA,2022-02-06 15:42:29
20,Ushuaia,-54.8,-68.3,53.26,54,40,3.44,AR,2022-02-06 15:38:42
21,Parfenyevo,58.484,43.4088,-1.23,100,82,3.38,RU,2022-02-06 15:42:30
22,Hermanus,-34.4187,19.2345,84.9,68,8,11.52,ZA,2022-02-06 15:39:04
23,Loandjili,-4.7561,11.8578,84.31,74,20,11.5,CG,2022-02-06 15:42:30
24,Serebryanyy Bor,56.8,124.8,-33.47,100,99,1.12,RU,2022-02-06 15:42:30
25,Wanning,18.8003,110.3967,69.76,89,99,8.7,CN,2022-02-06 15:42:31
26,Nishihara,26.1842,127.7558,58.28,59,100,10.36,JP,2022-02-06 15:42:31
27,Rimouski,48.4488,-68.524,8.28,78,25,6.64,CA,2022-02-06 15:42:31
28,Sao Filipe,14.8961,-24.4956,75.34,67,0,11.12,CV,2022-02-06 15:42:32
29,Busselton,-33.65,115.3333,56.08,69,71,16.55,AU,2022-02-06 15:42:32
30,Clovis,36.8252,-119.7029,57.67,81,20,3.44,US,2022-02-06 15:38:14
31,Ketchikan,55.3422,-131.6461,45.07,93,100,16.11,US,2022-02-06 15:42:32
32,Tuktoyaktuk,69.4541,-133.0374,-20.2,76,75,12.66,CA,2022-02-06 15:42:33
33,Bani Walid,31.7566,13.9942,66.34,22,100,6.38,LY,2022-02-06 15:42:33
34,Cape Town,-33.9258,18.4232,85.12,53,0,17.27,ZA,2022-02-06 15:42:33
35,Itarema,-2.9248,-39.9167,87.03,59,29,13.8,BR,2022-02-06 15:42:33
36,New Norfolk,-42.7826,147.0587,50.76,64,49,1.32,AU,2022-02-06 15:42:34
37,Tasiilaq,65.6145,-37.6368,23.16,63,100,24.63,GL,2022-02-06 15:42:34
38,Punta Arenas,-53.15,-70.9167,64.51,59,75,11.5,CL,2022-02-06 15:42:34
39,Jiayuguan,39.8167,98.3,12.11,96,97,7.47,CN,2022-02-06 15:42:35
40,Sungaipenuh,-2.0833,101.3833,62.69,85,99,0.89,ID,2022-02-06 15:42:35
41,Ambositra,-20.5167,47.25,63.91,93,94,3.8,MG,2022-02-06 15:42:35
42,Bluff,-46.6,168.3333,41.81,78,0,5.39,NZ,2022-02-06 15:42:35
43,Seoul,37.5683,126.9778,26.11,48,0,4.61,KR,2022-02-06 15:42:36
44,Kapaa,22.0752,-159.319,70.12,82,75,4.61,US,2022-02-06 15:38:43
45,Mataura,-46.1927,168.8643,41.49,99,1,2.04,NZ,2022-02-06 15:42:36
46,Lompoc,34.6391,-120.4579,60.78,77,0,5.75,US,2022-02-06 15:42:36
47,Bambous Virieux,-20.3428,57.7575,80.85,78,75,12.66,MU,2022-02-06 15:42:37
48,Mahebourg,-20.4081,57.7,80.89,78,75,12.66,MU,2022-02-06 15:38:43
49,Coihaique,-45.5752,-72.0662,68.61,55,0,4.61,CL,2022-02-06 15:40:02
50,Kununurra,-15.7667,128.7333,75.18,94,75,2.3,AU,2022-02-06 15:43:37
51,Fairbanks,64.8378,-147.7164,1.31,79,100,5.75,US,2022-02-06 15:40:45
52,Kaeo,-35.1,173.7833,74.32,98,100,5.35,NZ,2022-02-06 15:43:37
53,Sao Borja,-28.6606,-56.0044,83.95,32,0,13.89,BR,2022-02-06 15:43:38
54,Minamata,32.2167,130.4,35.13,65,62,5.19,JP,2022-02-06 15:43:38
55,Islamkot,24.6997,70.177,69.24,44,0,11.72,PK,2022-02-06 15:43:38
56,Devarkonda,16.7,78.9333,73.04,56,10,6.87,IN,2022-02-06 15:43:39
57,Antalaha,-14.9003,50.2788,79.43,79,62,3.85,MG,2022-02-06 15:43:39
58,Burnie,-41.0667,145.9167,60.94,77,55,11.32,AU,2022-02-06 15:43:39
59,Nizhnyaya Omka,55.4338,74.9426,7.2,85,100,7.11,RU,2022-02-06 15:43:39
60,Khilok,51.3674,110.4676,10.92,93,100,7.29,RU,2022-02-06 15:43:40
61,Isangel,-19.55,169.2667,82.51,89,100,9.22,VU,2022-02-06 15:43:40
62,Praia Da Vitoria,38.7333,-27.0667,62.76,94,75,18.86,PT,2022-02-06 15:43:40
63,San Luis,-33.295,-66.3356,74.3,19,0,5.46,AR,2022-02-06 15:42:46
64,Salalah,17.0151,54.0924,77.09,78,20,3.44,OM,2022-02-06 15:43:41
65,Chokurdakh,70.6333,147.9167,-38.99,100,98,2.24,RU,2022-02-06 15:39:11
66,Provideniya,64.3833,-173.3,-3.05,79,0,9.04,RU,2022-02-06 15:43:41
67,Grindavik,63.8424,-22.4338,30.15,80,75,12.66,IS,2022-02-06 15:43:41
68,Flin Flon,54.7682,-101.865,-22.16,69,20,0.0,CA,2022-02-06 15:43:42
69,Talnakh,69.4865,88.3972,-26.55,98,55,2.01,RU,2022-02-06 15:43:42
